VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17342	-0.0067188	-0.01296	0.0049027	0.91472	Skin_Not_Sun_Exposed_Suprapubic	f680.3	Rent social housing	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17342	-0.0078365	-0.015209	0.0049174	0.94448	Skin_Sun_Exposed_Lower_leg	f680.3	Rent social housing	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17342	-0.015447	-0.028406	0.006069	0.99453	Small_Intestine_Terminal_Ileum	f680.3	Rent social housing	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17342	-0.0093772	-0.018582	0.0046666	0.97775	Spleen	f680.3	Rent social housing	1	FALSE	Spleen
Stomach	COVAR	17342	-0.0085388	-0.015514	0.0075963	0.8695	Stomach	f680.3	Rent social housing	1	FALSE	Stomach
Testis	COVAR	17342	0.0036949	0.0063778	0.003512	0.14639	Testis	f680.3	Rent social housing	1	FALSE	Testis
Thyroid	COVAR	17342	-0.0099895	-0.019777	0.0061007	0.94922	Thyroid	f680.3	Rent social housing	1	FALSE	Thyroid
Uterus	COVAR	17342	-0.010449	-0.021288	0.0069651	0.93321	Uterus	f680.3	Rent social housing	1	FALSE	Uterus
Vagina	COVAR	17342	-0.011967	-0.022889	0.0069755	0.95687	Vagina	f680.3	Rent social housing	1	FALSE	Vagina
Whole_Blood	COVAR	17342	-0.0021964	-0.0039704	0.0035687	0.73087	Whole_Blood	f680.3	Rent social housing	1	FALSE	Whole Blood
Adipose_Subcutaneous	COVAR	17349	-0.0067748	-0.013524	0.00645	0.85321	Adipose_Subcutaneous	f680.4	Rent private housing	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17349	-0.0010457	-0.0020315	0.0066687	0.5623	Adipose_Visceral_Omentum	f680.4	Rent private housing	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17349	-0.013453	-0.025974	0.0059771	0.98779	Adrenal_Gland	f680.4	Rent private housing	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17349	-0.0052619	-0.01074	0.0061223	0.80496	Artery_Aorta	f680.4	Rent private housing	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17349	-0.0032284	-0.0064285	0.0070943	0.67547	Artery_Coronary	f680.4	Rent private housing	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17349	-0.0048301	-0.0099464	0.005991	0.78994	Artery_Tibial	f680.4	Rent private housing	1	FALSE	Artery Tibial
Bladder	COVAR	17349	-0.0069697	-0.013589	0.0078057	0.81404	Bladder	f680.4	Rent private housing	1	FALSE	Bladder
Brain_Amygdala	COVAR	17349	0.0079822	0.013599	0.0046788	0.044011	Brain_Amygdala	f680.4	Rent private housing	1	FALSE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17349	0.0059096	0.010439	0.0043046	0.084909	Brain_Anterior_cingulate_cortex_BA24	f680.4	Rent private housing	1	FALSE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17349	0.0067235	0.011615	0.004691	0.075897	Brain_Caudate_basal_ganglia	f680.4	Rent private housing	1	FALSE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17349	0.0026642	0.0053459	0.0036429	0.23229	Brain_Cerebellar_Hemisphere	f680.4	Rent private housing	1	FALSE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17349	0.0027341	0.0054275	0.003758	0.23345	Brain_Cerebellum	f680.4	Rent private housing	1	FALSE	Brain Cerebellum
Brain_Cortex	COVAR	17349	0.0053747	0.0098023	0.004252	0.10312	Brain_Cortex	f680.4	Rent private housing	1	FALSE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17349	0.0040818	0.0075217	0.0041032	0.15993	Brain_Frontal_Cortex_BA9	f680.4	Rent private housing	1	FALSE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17349	0.0053079	0.008989	0.0047618	0.1325	Brain_Hippocampus	f680.4	Rent private housing	1	FALSE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17349	0.0037115	0.0063894	0.0048313	0.22118	Brain_Hypothalamus	f680.4	Rent private housing	1	FALSE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17349	0.0058295	0.010115	0.0045322	0.099188	Brain_Nucleus_accumbens_basal_ganglia	f680.4	Rent private housing	1	FALSE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17349	0.0065031	0.011066	0.0047315	0.084661	Brain_Putamen_basal_ganglia	f680.4	Rent private housing	1	FALSE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17349	0.0021331	0.0038347	0.0051614	0.33971	Brain_Spinal_cord_cervical_c-1	f680.4	Rent private housing	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17349	0.0065505	0.011277	0.0051211	0.10044	Brain_Substantia_nigra	f680.4	Rent private housing	1	FALSE	Brain Substantia nigra
Breast_Mammary_Tissue	COVAR	17349	-0.0056979	-0.01096	0.0075934	0.77348	Breast_Mammary_Tissue	f680.4	Rent private housing	1	FALSE	Breast Mammary Tissue
Cells_Cultured_fibroblasts	COVAR	17349	0.0015307	0.0032802	0.0039082	0.34766	Cells_Cultured_fibroblasts	f680.4	Rent private housing	1	FALSE	Cells Cultured fibroblasts
Cells_EBV-transformed_lympho...	COVAR	17349	-0.0024493	-0.0053441	0.0029135	0.79972	Cells_EBV-transformed_lymphocytes	f680.4	Rent private housing	1	FALSE	Cells EBV-transformed lymphocytes
