VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Breast	COVAR	17345	-0.023971	-0.046097	0.010404	0.98938	f884	Moderate physical activity frequency	1	FALSE	Breast
Cervix_Uteri	COVAR	17345	0.0013147	0.0025827	0.0093487	0.44408	f884	Moderate physical activity frequency	1	FALSE	Cervix Uteri
Colon	COVAR	17345	0.006679	0.012502	0.010417	0.2607	f884	Moderate physical activity frequency	1	FALSE	Colon
Esophagus	COVAR	17345	-0.011328	-0.02134	0.011309	0.84174	f884	Moderate physical activity frequency	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17345	0.0010403	0.0020181	0.0091812	0.4549	f884	Moderate physical activity frequency	1	FALSE	Fallopian Tube
Heart	COVAR	17345	-0.0052106	-0.0089662	0.0062362	0.79829	f884	Moderate physical activity frequency	1	FALSE	Heart
Kidney	COVAR	17345	-0.010967	-0.019298	0.0062124	0.96123	f884	Moderate physical activity frequency	1	FALSE	Kidney
Liver	COVAR	17345	-0.0042088	-0.0075785	0.0042562	0.83862	f884	Moderate physical activity frequency	1	FALSE	Liver
Lung	COVAR	17345	-0.0093433	-0.018064	0.0069615	0.91022	f884	Moderate physical activity frequency	1	FALSE	Lung
Muscle	COVAR	17345	-0.00039179	-0.00074105	0.0045237	0.53451	f884	Moderate physical activity frequency	1	FALSE	Muscle
Nerve	COVAR	17345	0.0019137	0.0038522	0.0068376	0.38979	f884	Moderate physical activity frequency	1	FALSE	Nerve
Ovary	COVAR	17345	0.01386	0.028094	0.0067239	0.019645	f884	Moderate physical activity frequency	0.51077	FALSE	Ovary
Pancreas	COVAR	17345	-0.0058567	-0.0097931	0.005702	0.84782	f884	Moderate physical activity frequency	1	FALSE	Pancreas
Pituitary	COVAR	17345	0.01564	0.029151	0.0054694	0.0021244	f884	Moderate physical activity frequency	0.0552344	FALSE	Pituitary
Prostate	COVAR	17345	-0.0043662	-0.0082831	0.009108	0.68416	f884	Moderate physical activity frequency	1	FALSE	Prostate
Salivary_Gland	COVAR	17345	-0.0066943	-0.012459	0.007132	0.82603	f884	Moderate physical activity frequency	1	FALSE	Salivary Gland
Skin	COVAR	17345	-0.0057659	-0.010996	0.0065963	0.80896	f884	Moderate physical activity frequency	1	FALSE	Skin
Small_Intestine	COVAR	17345	-0.003709	-0.0068209	0.0071377	0.69834	f884	Moderate physical activity frequency	1	FALSE	Small Intestine
Spleen	COVAR	17345	0.00074385	0.0014743	0.0051984	0.44311	f884	Moderate physical activity frequency	1	FALSE	Spleen
Stomach	COVAR	17345	-0.007147	-0.012985	0.008978	0.78699	f884	Moderate physical activity frequency	1	FALSE	Stomach
Testis	COVAR	17345	0.0039669	0.0068484	0.0036549	0.13888	f884	Moderate physical activity frequency	1	FALSE	Testis
Thyroid	COVAR	17345	-0.014436	-0.028586	0.0070742	0.97935	f884	Moderate physical activity frequency	1	FALSE	Thyroid
Uterus	COVAR	17345	0.011632	0.023699	0.0079003	0.070466	f884	Moderate physical activity frequency	1	FALSE	Uterus
Vagina	COVAR	17345	-0.01092	-0.020882	0.0083286	0.90508	f884	Moderate physical activity frequency	1	FALSE	Vagina
Adipose_Tissue	COVAR	17344	-0.014861	-0.029184	0.0089323	0.95191	f904	Vigorous physical activity frequency	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17344	-0.0022779	-0.0043978	0.0068114	0.63097	f904	Vigorous physical activity frequency	1	FALSE	Adrenal Gland
Bladder	COVAR	17344	-0.0041187	-0.0080307	0.010718	0.64961	f904	Vigorous physical activity frequency	1	FALSE	Bladder
Blood	COVAR	17344	0.0090833	0.016317	0.004038	0.012249	f904	Vigorous physical activity frequency	0.318474	FALSE	Blood
Blood_Vessel	COVAR	17344	-0.0082165	-0.016674	0.0077469	0.85556	f904	Vigorous physical activity frequency	1	FALSE	Blood Vessel
