"","X","term","estimate_AF","std.error_AF","statistic_AF","p.value_AF","estimate_CAD","std.error_CAD","statistic_CAD","p.value_CAD","estimate_COPD","std.error_COPD","statistic_COPD","p.value_COPD","estimate_T2D","std.error_T2D","statistic_T2D","p.value_T2D","estimate_f.50.0.0","std.error_f.50.0.0","statistic_f.50.0.0","p.value_f.50.0.0","estimate_f.4080.0.0","std.error_f.4080.0.0","statistic_f.4080.0.0","p.value_f.4080.0.0","estimate_f.21001.0.0","std.error_f.21001.0.0","statistic_f.21001.0.0","p.value_f.21001.0.0","estimate_f.30740.0.0","std.error_f.30740.0.0","statistic_f.30740.0.0","p.value_f.30740.0.0","estimate_f.30760.0.0","std.error_f.30760.0.0","statistic_f.30760.0.0","p.value_f.30760.0.0","estimate_f.30690.0.0","std.error_f.30690.0.0","statistic_f.30690.0.0","p.value_f.30690.0.0","estimate_f.30870.0.0","std.error_f.30870.0.0","statistic_f.30870.0.0","p.value_f.30870.0.0","estimate_fev1_inst1","std.error_fev1_inst1","statistic_fev1_inst1","p.value_fev1_inst1","category","fieldname"
"69","6138","f.6138.0.0O levels/GCSEs or equivalent",NA,NA,NA,NA,0.192324830920668,0.0657632699133489,2.92450225139472,0.0034500758401448,0.15609925996029,0.0904035618431914,1.72669369190398,0.0842226891648471,0.307547441292677,0.0592116871930172,5.19403273023009,2.05786937706823e-07,-0.65257883087013,0.07071227809681,-9.22864951369132,2.82564213541207e-20,1.64227908433222,0.194684755508219,8.43558130704736,3.35815389740965e-17,0.510157690593441,0.0500589922524317,10.1911298577662,2.28019152314526e-24,NA,NA,NA,NA,-0.0219688691933441,0.00409840947525909,-5.36034023100029,8.34114903179656e-08,0.02072991922706,0.0114314731468007,1.81340750757584,0.0697731443907107,0.0507173742439226,0.0116581595991669,4.35037570145692,1.36153039554767e-05,-0.0366768928144493,0.00635203549548757,-5.77403776167564,7.77866045608832e-09,"education","Qualifications"
"70","6138","f.6138.0.0A levels/AS levels or equivalent",NA,NA,NA,NA,0.000342789932490972,0.0876509781987237,0.00391085119111613,0.996879600169306,0.161399783423466,0.115108869606894,1.4021489740509,0.16087076515171,0.0650517634370048,0.0784654582481775,0.82904968491044,0.407076293194867,-0.317289022231936,0.0853237205371941,-3.71864963499364,0.000200470701665506,0.910067312659372,0.237635844271649,3.82967188914078,0.000128427338808852,0.217478825678207,0.0603078302252013,3.60614575032957,0.000311045698467219,NA,NA,NA,NA,-0.000909676559898885,0.00497894787029582,-0.182704576066356,0.855030523509192,0.0142481745136703,0.0140645889166117,1.01305303682512,0.311038224837054,0.0253044509344175,0.0140564904791672,1.8001969248242,0.0718351201232452,-0.0336634402116281,0.00767986728063872,-4.38333619338646,1.17080081131345e-05,"education","Qualifications"
"71","6138","f.6138.0.0CSEs or equivalent",NA,NA,NA,NA,0.244551488661963,0.115421669865554,2.11876581708463,0.0341102629280487,0.634901782057367,0.127586840559306,4.97623249603273,6.48337691400632e-07,0.416200369583082,0.0916444695791837,4.54146738471187,5.58640293635258e-06,-1.43423638865592,0.115982273236852,-12.3659965323063,4.4006458498811e-35,2.18059251953453,0.319644233614228,6.82193604708116,9.05574574700688e-12,0.798493544551889,0.0832034662588847,9.59687835681514,8.56138088066466e-22,NA,NA,NA,NA,-0.0270383694247429,0.00682254518072179,-3.96309129636023,7.40822939092434e-05,0.0442068383126158,0.0191982620613273,2.30264792570289,0.0213014910753548,0.0716763285903931,0.0194083226338759,3.69307177866504,0.000221779367729136,-0.0720192259153008,0.0105379724413633,-6.83425832777979,8.32396385954625e-12,"education","Qualifications"
"72","6139","f.6139.0.0A gas fire that you use regularly in winter time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0731198708417122,0.0634993518976771,-1.15150578165802,0.249524218061994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0220313345847893,0.0150385735789133,-1.46498831615793,0.142928775465515,-0.0083039797839493,0.00495575688873332,-1.67562291096805,0.0938179741417019,-0.0132327876050549,0.0141064368676161,-0.938067332611345,0.348212947790948,NA,NA,NA,NA,-0.0213333800970309,0.00775769539530177,-2.74996361805477,0.00596202919843598,"household","Gas or solid-fuel cooking/heating"
"73","6139","f.6139.0.0An open solid fuel fire that you use regularly in winter time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.399762438908016,0.160183007311395,-2.49566071718755,0.0125722787855529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018104734986004,0.0269347178764957,0.672170953080703,0.501477177359241,0.0330054369191354,0.00907078893293384,3.63865118714213,0.000274329728770788,0.0897198530420308,0.0255292060610552,3.51440044110492,0.000441017620233531,NA,NA,NA,NA,0.0278974264039108,0.0141156527497023,1.97634688941319,0.0481202193514542,"household","Gas or solid-fuel cooking/heating"
"74","6139","f.6139.0.0Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"household","Gas or solid-fuel cooking/heating"
"75","6139","f.6139.0.0None of the above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638853592769336,0.0487495815004707,1.31048015820027,0.190033452263626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315876048349444,0.0119419145823861,2.64510389996719,0.00816847960861396,-0.0018977511241087,0.00405246427864363,-0.468295583531678,0.63957515120493,-0.0160599844528471,0.011210507865491,-1.43258313053631,0.151981336883877,NA,NA,NA,NA,-0.0117563856535466,0.0062547297451306,-1.87959930046524,0.0601677035665321,"household","Gas or solid-fuel cooking/heating"
"76","6139","f.6139.0.0Prefer not to answer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"household","Gas or solid-fuel cooking/heating"
"77","6142","f.6142.0.0None of the above",0.315682492332754,0.238264881207136,1.32492245912781,0.185196870896896,-0.367311424724029,0.380019630905216,-0.96655907972197,0.333764499201155,-0.0233865321013914,0.358121212873909,-0.0653033980135256,0.947932436898142,0.355992933297423,0.26098926461231,1.36401370311624,0.172563252924673,-0.0749339576294199,0.39408136776541,-0.190148440801258,0.849193447935639,-1.58994339161168,1.0342590982068,-1.53727764577399,0.124229907680872,-0.345503890141501,0.284904226896475,-1.21270187496041,0.225248884059023,0.0121740168429588,0.0663290076769874,0.183539860904364,0.854374998232224,-4.76213830873955e-05,0.0224870038369299,-0.00211772913068961,0.99831030585219,-0.0438556191284756,0.0628732846503813,-0.697523906574041,0.485477230622351,0.101885068566268,0.0669040402219393,1.52285375036076,0.127801146390309,-0.0248790778670937,0.0363972872905894,-0.683542091158157,0.494267085557902,"employment","Current employment status"
"78","6142","f.6142.0.0Prefer not to answer",NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"employment","Current employment status"
